datetime_round,lat,lon,sog_knots,cog_deg,stw_knots,awa_deg,aws_knots,heading_deg,twa_raw,twa,tack
2025-07-26 14:17:59,53.299948533333335,-6.096008966666667,4.328,314.972,5.45,343.0,14.6,320.53333333333336,303.5333333333333,56.4666666666667,port
2025-07-26 14:18:00,53.29996264166667,-6.096031816666667,4.309,315.116,5.4,338.5,12.0,320.4,298.9,61.10000000000002,port
2025-07-26 14:18:01,53.29997675,-6.096054666666666,4.29,315.26,5.45,334.0,9.4,320.26666666666665,294.26666666666665,65.73333333333335,port
2025-07-26 14:18:02,53.29999085833333,-6.096077516666667,4.271,315.404,5.5,335.8,10.620000000000001,320.1333333333333,295.9333333333334,64.0666666666666,port
2025-07-26 14:18:03,53.30000496666666,-6.096100366666667,4.252,315.548,5.47,337.6,11.84,320.0,297.6,62.39999999999998,port
2025-07-26 14:18:04,53.300019075,-6.096123216666667,4.233,315.692,5.44,339.4,13.06,318.0,297.4,62.60000000000002,port
2025-07-26 14:18:05,53.30003318333333,-6.096146066666667,4.2139999999999995,315.836,5.41,341.2,14.28,317.0,298.20000000000005,61.799999999999955,port
2025-07-26 14:18:06,53.300047291666665,-6.096168916666667,4.195,315.97999999999996,5.38,343.0,15.5,316.6666666666667,299.66666666666674,60.33333333333326,port
2025-07-26 14:18:07,53.3000614,-6.096191766666667,4.176,316.12399999999997,5.3500000000000005,335.0,10.5,316.3333333333333,291.33333333333326,68.66666666666674,port
2025-07-26 14:18:08,53.30007550833333,-6.096214616666667,4.157,316.268,5.32,339.5,12.85,316.0,295.5,64.5,port
2025-07-26 14:18:09,53.30008961666667,-6.0962374666666665,4.138,316.412,5.29,344.0,15.2,316.0,300.0,60.0,port
2025-07-26 14:18:10,53.300103725,-6.096260316666667,4.119,316.556,5.26,336.0,10.2,316.0,292.0,68.0,port
2025-07-26 14:18:11,53.30011783333333,-6.096283166666667,4.1,316.7,5.23,339.0,11.633333333333333,316.0,295.0,65.0,port
2025-07-26 14:18:12,53.300132777777776,-6.096315333333333,4.01,317.3566666666667,5.2,342.0,13.066666666666666,316.0,298.0,62.0,port
2025-07-26 14:18:13,53.30014772222222,-6.0963475,3.92,318.0133333333333,5.18,345.0,14.5,316.0,301.0,59.0,port
2025-07-26 14:18:14,53.300162666666665,-6.0963796666666665,3.83,318.67,5.16,344.6666666666667,14.366666666666667,316.0,300.66666666666674,59.33333333333326,port
2025-07-26 14:18:15,53.300176638888885,-6.096398902777778,3.8525,318.87,5.14,344.3333333333333,14.233333333333333,316.0,300.33333333333326,59.66666666666674,port
2025-07-26 14:18:16,53.30019061111111,-6.096418138888889,3.875,319.07,5.12,344.0,14.1,316.85714285714283,300.8571428571429,59.14285714285711,port
2025-07-26 14:18:17,53.30020458333333,-6.096437375,3.8975,319.27,5.1,343.0,14.1,317.7142857142857,300.7142857142858,59.28571428571422,port
2025-07-26 14:18:18,53.30021855555555,-6.096456611111111,3.92,319.47,5.15,342.0,14.1,318.57142857142856,300.57142857142856,59.428571428571445,port
2025-07-26 14:18:19,53.30023252777778,-6.096475847222222,3.9425,319.67,5.2,341.0,14.1,319.42857142857144,300.42857142857144,59.571428571428555,port
2025-07-26 14:18:20,53.3002465,-6.096495083333333,3.965,319.87,5.25,340.0,14.1,320.2857142857143,300.2857142857142,59.71428571428578,port
2025-07-26 14:18:21,53.30026047222222,-6.096514319444444,3.9875,320.07,5.3,338.6666666666667,14.033333333333333,321.14285714285717,299.80952380952385,60.19047619047615,port
2025-07-26 14:18:22,53.30027444444445,-6.096533555555555,4.01,320.27,5.366666666666666,337.3333333333333,13.966666666666667,322.0,299.33333333333326,60.66666666666674,port
2025-07-26 14:18:23,53.30028841666667,-6.096552791666666,4.0325,320.46999999999997,5.433333333333334,336.0,13.9,321.5833333333333,297.58333333333326,62.41666666666674,port
2025-07-26 14:18:24,53.30030238888889,-6.0965720277777775,4.055,320.67,5.5,336.5,13.9,321.1666666666667,297.66666666666674,62.33333333333326,port
2025-07-26 14:18:25,53.300316361111115,-6.096591263888889,4.0775,320.87,5.5,337.0,13.9,320.75,297.75,62.25,port
2025-07-26 14:18:26,53.300330333333335,-6.0966105,4.1,321.07,5.5,331.6666666666667,12.333333333333334,320.3333333333333,292.0,68.0,port
2025-07-26 14:18:27,53.30034533333333,-6.096631,4.2,320.21,5.5,326.3333333333333,10.766666666666666,319.9166666666667,286.25,73.75,port
2025-07-26 14:18:28,53.30035658333333,-6.096647000000001,4.2175,319.88,5.5,321.0,9.2,319.5,280.5,79.5,port
2025-07-26 14:18:29,53.30036783333333,-6.096663,4.235,319.55,5.5,322.72727272727275,9.69090909090909,319.0833333333333,281.810606060606,78.189393939394,port
2025-07-26 14:18:31,53.30039033333333,-6.096695,4.27,318.89,5.433333333333334,326.1818181818182,10.672727272727272,318.25,284.43181818181824,75.56818181818176,port
2025-07-26 14:18:32,53.3004036,-6.096718466666667,4.268,320.01,5.4,327.90909090909093,11.163636363636362,317.8333333333333,285.74242424242425,74.25757575757575,port
